nom	freq	verbe	v_dico	v_corpus	v_trans	v_tel	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	n_onto	n_rel	n_asp	n_rol_cplt1	n_rol_cplt2	n_rol_cplt3	n_nb_arg	n_polys	v_polys	si_polys_v_base_unq	act_res	herit_asp	v_rol_inc	n_rol_inc	herit_Sa
surestimage	1	surestimer	oui	oui	trans	0	exp	th	na	2	ppt	na	etat	th	exp	na	2	non	non	non	non	oui	incl	incl	oui
citage	1	citer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
surchargeage	1	surcharger	oui	oui	trans	0	ag	pa	th	3	act	na	act	pa	th	ag	3	non	non	non	non	oui	incl	incl	oui
flemmardage	1	flemmarder	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
diagnostiquage	1	diagnostiquer	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
transmettage	1	transmettre	oui	oui	trans	1	ag	th	benf	3	act	na	acc	th	benf	ag	3	non	non	non	non	oui	incl	incl	oui
lolage	1	loler	non	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
tatanage	1	tataner	non	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
mitonage1	1	miton(n)er1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	oui	oui	oui	oui	incl	incl	oui
mitonage2	na	miton(n)er1	oui	oui	trans	1	ag	pa	na	2	obj	res	na	ag	na	na	1	oui	oui	oui	oui	na	noninc	incl	non
mitonage3	na	miton(n)er2	non	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	oui	oui	oui	oui	oui	incl	incl	oui
mitonage4	na	miton(n)er2	non	oui	intrans	0	ag	na	na	1	cog	res	na	ag	na	na	1	oui	oui	oui	oui	na	incl	incl	oui
compatissage	1	compatir	oui	oui	intrans	0	exp	na	th	2	ppt	na	etat	exp	th	na	0	non	non	non	non	oui	incl	incl	oui
siestage	1	siester	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
gamellage	1	se gameller	non	oui	intrans	1	ag	na	na	1	act	na	ach	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
flashouillage1	1	flashouiller1	non	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	oui	non	oui	non	oui	incl	incl	oui
flashouillage2	na	flashouiller1	non	oui	trans	1	ag	th	na	2	obj	instru	na	na	na	na	0	oui	non	oui	non	na	noninc	incl	non
rêvassage	na	rêvasser	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
désencrassage	1	désencrasser	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
rempilage	1	rempiler	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
insérage	1	insérer	oui	oui	trans	1	ag	th	loc	3	act	na	ach	th	loc	ag	3	non	non	non	non	oui	incl	incl	oui
décompartimentage	1	décompartimenter	non	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
tutoyage	1	tutoyer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
gaussage	1	se gausser	oui	oui	intrans	0	ag	na	th	2	act	na	act	ag	th	na	2	non	non	non	non	oui	incl	incl	oui
rétrecissage	1	rétrécir	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
décérébrage	1	décérébrer	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
complimentage1	1	complimenter1	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
complimentage2	na	complimenter1	oui	oui	trans	0	ag	th	na	2	cog	res	na	ag	na	na	1	oui	non	oui	oui	na	noninc	incl	non
ronchonage	1	ronchon(n)er	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
rassurage1	1	rassurer1	oui	oui	trans	2	ag	exp	na	2	act	na	ach_grad	exp	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
rassurage2	na	rassurer1	oui	oui	trans	2	ag	exp	na	2	ppt	res	etat	exp	na	na	1	oui	non	oui	oui	na	noninc	incl	non
entassage1	1	entasser1	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
entassage2	na	entasser1	oui	oui	trans	0	ag	th	na	2	obj	res	na	part	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
reviendage	1	revenir	oui	oui	intrans	1	ag	na	na	1	act	na	ach	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
blâmage	1	blâmer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
crocage	1	croquer	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
terminage	1	terminer	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
